cust_id,lookalikes
C0001,"[('C0184', np.float64(0.8761215291484783)), ('C0112', np.float64(0.8714100521845012)), ('C0192', np.float64(0.6715497617779309))]"
C0002,"[('C0134', np.float64(0.8194219742600629)), ('C0106', np.float64(0.7470661732603929)), ('C0083', np.float64(0.7280861582759284))]"
C0003,"[('C0076', np.float64(0.8773668040707575)), ('C0052', np.float64(0.7371018019864475)), ('C0158', np.float64(0.7089960507635181))]"
C0004,"[('C0165', np.float64(0.8568306366012264)), ('C0173', np.float64(0.8489014824231661)), ('C0021', np.float64(0.8168805484004313))]"
C0005,"[('C0007', np.float64(0.7682562421057125)), ('C0128', np.float64(0.6679851641973164)), ('C0112', np.float64(0.6483448051618845))]"
C0006,"[('C0187', np.float64(0.9174461063161405)), ('C0168', np.float64(0.7572754416867667)), ('C0066', np.float64(0.7106685060329608))]"
C0007,"[('C0140', np.float64(0.859996570815779)), ('C0005', np.float64(0.7682562421057125)), ('C0112', np.float64(0.760123246675861))]"
C0008,"[('C0065', np.float64(0.697001918948516)), ('C0098', np.float64(0.6746155408357253)), ('C0109', np.float64(0.6633603012207656))]"
C0009,"[('C0010', np.float64(0.7861610722440849)), ('C0033', np.float64(0.7736448118339174)), ('C0077', np.float64(0.7687192021084936))]"
C0010,"[('C0198', np.float64(0.7886331415364208)), ('C0009', np.float64(0.7861610722440849)), ('C0062', np.float64(0.784980866641409))]"
C0011,"[('C0153', np.float64(0.6903934653854227)), ('C0169', np.float64(0.6490087818107043)), ('C0118', np.float64(0.6390032210740887))]"
C0012,"[('C0195', np.float64(0.7591833626184085)), ('C0065', np.float64(0.6945050210380661)), ('C0059', np.float64(0.6691896545357555))]"
C0013,"[('C0087', np.float64(0.7324397704124403)), ('C0143', np.float64(0.7220433070999313)), ('C0099', np.float64(0.7184261149247495))]"
C0014,"[('C0151', np.float64(0.850056310540527)), ('C0097', np.float64(0.8280410089928408)), ('C0033', np.float64(0.7801570425612964))]"
C0015,"[('C0036', np.float64(0.7743811202826798)), ('C0058', np.float64(0.7404019043895674)), ('C0094', np.float64(0.7014964092831747))]"
C0016,"[('C0067', np.float64(0.8989580240027931)), ('C0034', np.float64(0.7656666027548009)), ('C0183', np.float64(0.7116525055250835))]"
